competitor_name,domain,campus_id,campus,state,course_code,competitor_type,model_cluster,intro_accounting_supported,campus_specific,course_specific_site,professor_specific,sponsored,pricing_model,price,free_trial,free_content,practice_exams,exam_reviews,video_content,live_reviews,one_on_one,study_guides,subscription,other_offerings,query_families,source_url,retrieved_at,confidence
ac210ua.com,ac210ua.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,COURSE_SPECIFIC_SITE,STUDY_EDGE_MODEL,YES,YES,YES,YES,NO,unknown,,"The first video of Chapter 1, 'The Accounting Equation', is available to view for free.",,YES,,YES,,,,,,school_acct_tutoring; course_tutoring; fin_acct_tutoring; school_study_guide; course_exam_review; paid_tutoring; school_review_videos; school_practice_exam; course_practice_exam; ad_probe_course_acct; ad_probe_course_tutoring,https://ac210ua.com/,2026-08-25T18:43:41.665Z,high
tutoringprof.com,tutoringprof.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,LOCAL_CAMPUS_TUTORING,INDIVIDUAL_TUTOR_SCALED,YES,YES,NO,UNKNOWN,NO,unknown,,,,,,,,YES,,,,school_acct_tutoring; course_tutoring; fin_acct_tutoring; paid_tutoring,https://www.tutoringprof.com/find-your-course/university-of-alabama-courses,2026-08-25T18:43:41.665Z,medium
appliedtutoring.com,appliedtutoring.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,LOCAL_CAMPUS_TUTORING,INDIVIDUAL_TUTOR_SCALED,YES,YES,NO,UNKNOWN,NO,,,,,,,,,YES,,,,school_acct_tutoring; course_tutoring; paid_tutoring; ad_probe_course_tutoring,https://www.appliedtutoring.com/tutoring-services,2026-08-25T18:43:41.665Z,medium
Quizlet,quizlet.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,YES,,,,,,,,school_exam_review; school_study_guide; course_exam_review; school_practice_exam; course_practice_exam,https://quizlet.com/429949007/accounting-210-exam-1-university-of-alabama-flash-cards/,2026-08-25T18:43:41.665Z,high
UWorld,uworld.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,EXAM_PREP_PLATFORM,NATIONAL_PLATFORM,YES,UNKNOWN,NO,YES,NO,per-course,$1,,,,YES,YES,,,YES,,,school_exam_review; school_exam_prep,https://accounting.uworld.com/blog/category/cpa-review/page/27/,2026-08-25T18:43:41.665Z,medium
Wyzant,wyzant.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,fin_acct_tutoring,https://www.wyzant.com/Tuscaloosa_managerial_accounting_tutors.aspx,2026-08-25T18:43:41.665Z,medium
CliffsNotes,cliffsnotes.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide; course_exam_review; school_practice_exam; course_practice_exam; ad_probe_course_acct,https://www.cliffsnotes.com/study-notes/26892847,2026-08-25T18:43:41.665Z,high
Course Hero,coursehero.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,YES,UNKNOWN,NO,,,,,,,,,,,,,school_study_guide; course_exam_review; school_practice_exam; course_practice_exam; ad_probe_course_acct,https://www.coursehero.com/sitemap/schools/110-University-of-Alabama/courses/245426-AC210/,2026-08-25T18:43:41.665Z,high
Docsity,docsity.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,course_exam_review; school_practice_exam,https://www.docsity.com/en/docs/exam-1-version-a-introduction-to-accounting-ac-210/6644769/,2026-08-25T18:43:41.665Z,high
Stuvia,stuvia.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,LIKELY,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,course_exam_review,https://www.stuvia.com/en-us/search?page=2&s=ac%20210%20exam%202,2026-08-25T18:43:41.665Z,high
