campus,state,professor,source_quality,year,source_url
Florida Atlantic University,FL,Zachary Ferrara,HIGH,2025,https://www.fau.edu/uupc/documents/materials/2024/march-25-2024/hc-acg-2021.pdf
Florida State College at Jacksonville,FL,Shawna Coram,HIGH,2026,https://syllabus.fscj.edu/doc/8khm359ny/Summer-2026-ACG-2021-1675?mode=view
Foothill College,CA,"BENSON, BEN",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"GOPAL, SUBHA",HIGH,2026,https://fhweb.foothill.edu/schedule/?dept=every&srchinst=&srchcrn=&Quarter=2026W&modality=anymodality&oer=any&availability=all&type=latestart&GEArea=any&time=Any+Time&location=anywhere&ADay=A
Foothill College,CA,"JAMA, FILSUN",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"NGUYEN, LONG",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"TORRETTO, JOE",HIGH,2026,https://foothill.edu/accounting/schedule.html
Foothill College,CA,"WANG-NAVA, JOSE",HIGH,2026,https://fhweb.foothill.edu/schedule/?dept=every&srchinst=&srchcrn=&Quarter=2026W&modality=anymodality&oer=any&availability=all&type=latestart&GEArea=any&time=Any+Time&location=anywhere&ADay=A
Gustavus Adolphus College,,Dr. Mercy L. Palamuleni,HIGH,2025,https://gustavus.edu/econ-mgmt/concertFiles/media/syllabi/fall15/EM-201_Palamuleni.pdf
Jefferson Community and Technical College,KY,Graham,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Jefferson Community and Technical College,KY,Joy,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Kent State University,OH,Wendy Tietz,HIGH,2026,https://syllabus.kent.edu/
King's College - Pennsylvania,PA,Dr. James Fleury,HIGH,2026,https://www.academia.edu/167047273/Syllabus_Superhero_Media_Fall_2026_
Lakeland Community College,OH,"Corwin, C",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Lakeland Community College,OH,"Mengelkamp, J",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Lakeland Community College,OH,"Racic, J",HIGH,2026,https://lkn.lakelandcc.edu/internet/academics/schedule/?show=1&subj_code=ACCT
Louisiana State University,LA,Elizabeth Briggs,HIGH,2025,https://cemoodle.online.lsu.edu/syllabus/ACCT_2001_3.0_s1_Syllabus.pdf
McMaster University,ON,Dr. Alfred Liu,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2024/12/1AA3-W25-Revised-Liu.pdf
McMaster University,ON,Dr. Emad Mohammad,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2025/09/IBH-1AA3-F25-Mohammad.pdf
McMaster University,ON,Dr. Yaqin Hu,HIGH,2025,https://mbastudent.degroote.mcmaster.ca/wp-content/uploads/sites/69/2025/06/A610-Course-Outline-Fall-2025.pdf
McMaster University,ON,Mr. Karim Karim,HIGH,2025,https://ug.degroote.mcmaster.ca/wp-content/uploads/sites/91/2025/09/IBH-1AA3-F25-Mohammad.pdf
Memorial University of Newfoundland,NL,Nader Wans,HIGH,2025,"https://shop.mun.ca/CourseSearch/?course[]=X,202502,BUSI,BUSI2111,081"
Mercer University-Macon,GA,Anna Barnes,HIGH,2026,https://adminapps.mercer.edu/classroomsched/default.aspx?C=M
Mercer University-Macon,GA,Blake Bowler,HIGH,2026,https://adminapps.mercer.edu/classroomsched/default.aspx?C=M
Mercer University-Macon,GA,Stephanie Morris,HIGH,2026,https://adminapps.mercer.edu/classroomsched/default.aspx?C=M
Nagoya University,OH,Bishnu Kumar Adhikary,HIGH,2026,https://syllabus.u-hyogo.ac.jp/slResult/2026/english/syllabusHtml/SyllabusHtml.2026.174170.html
Nagoya University,OH,Yoichiro TSUZUKI,HIGH,2026,https://syllabus.u-hyogo.ac.jp/slResult/2026/english/syllabusHtml/SyllabusHtml.2026.140130.html
New York University,NY,Alex Dontoh,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/006/1256
New York University,NY,Amal Shehata,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/006/1258
New York University,NY,Harshit Singal,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/007/1258
New York University,NY,Jim Resnik,HIGH,2026,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/001/1264
New York University,NY,Kenshin Kadoya,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/006/1256
New York University,NY,Michael Krantz,HIGH,2026,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/001/1264
New York University,NY,Qishen FU,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.1/003/1256
New York University,NY,Yoel Beniluz,HIGH,2025,https://web-apps-shib.stern.nyu.edu/syllabi/get_syllabus/ACCT-UB.4/002/1268
North Central Texas College,TX,Cooper,HIGH,2026,https://my.nctc.edu/ICS/Academics/ACCT/ACCT_2301/2025_SU-ACCT_2301-0332/Syllabus.jnz?portlet=Syllabus_File(s)&pvt_c6a864e5-ee99-40e1-997a-82eeb9ea6c1d=Card
North Central Texas College,TX,Rashid Rahman,HIGH,2025,https://my.nctc.edu/ICS/Academics/ACCT/ACCT_2301/2025_FA-ACCT_2301-0840/Syllabus.jnz?portlet=Introduction
North Central Texas College,TX,Vanessa Fields-Johnson,HIGH,2026,https://my.nctc.edu/ICS/Academics/ACCT/ACCT_2301/2026_FA-ACCT_2301-0310/
North Central Texas College,TX,Walter F. Brooks,HIGH,2025,https://my.nctc.edu/ICS/Academics/ACCT/ACCT_2302/2025_FA-ACCT_2302-0310/
Oral Roberts University,OK,Dr. Ardith Baker,HIGH,2025,https://syllabi.oru.edu/?id=39484
Owensboro Community and Technical College,KY,Graham,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Owensboro Community and Technical College,KY,Joy,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Penn State University Univ,PA,Shina,HIGH,2026,https://wilkesbarre.psu.edu/registrar/final-exams
Rice University,TX,David Wilson,HIGH,2025,https://esther.rice.edu/selfserve/!bwzkpsyl.v_viewDoc?term=202530&crn=31867&type=SYLLABUS
Rice University,TX,Stefan Huber,HIGH,2025,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202520&p_subj=BUSI
Rochester Institute of Technology,NY,Peter Schmidt,HIGH,2025,https://www.rit.edu/croatia/sites/rit.edu.croatia/files/documents/policies-and-procedures/2020-21-spring-ib-program-outline-final20210831110832.pdf
Santa Rosa Junior College,CA,Comings B,HIGH,2026,https://portal.santarosa.edu/SRWeb/MVC.Core2/ScheduleOfClasses2/Section?termId=20263&SectionNumber=4457
Santa Rosa Junior College,CA,Lord G,HIGH,2025,https://portal.santarosa.edu/SRWeb/MVC.Core2/ScheduleOfClasses2/Section?termId=20255&SectionNumber=8381
Seminole State College of Florida,FL,Bernard,HIGH,2026,https://www.seminolestate.edu/catalog/courses/fin3403
Seminole State College of Florida,FL,Davison,HIGH,2026,https://www.seminolestate.edu/catalog/courses/acg3024
Simon Fraser University,BC,Lei Zhang,HIGH,2026,https://www.sfu.ca/students/calendar/courses/bus/251.html
Simon Fraser University,BC,Richard Wong,HIGH,2026,https://www.sfu.ca/students/calendar/courses/bus/251.html
Simon Fraser University,BC,Susan Bubra,HIGH,2026,http://www.sfu.ca/outlines.html?2026/summer/bus/251/d100
Somerset Community College,KY,Graham,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
Somerset Community College,KY,Joy,HIGH,2025,https://henderson.kctcs.edu/education-training/class-schedules/schedule-4246.aspx
South Plains College,TX,Michela Heth,HIGH,2026,https://www.southplainscollege.edu/faculty/bacis/2025-2026/ACCT_2301_001.002_MHethSP.pdf
Stanford University,CA,"deHaan, E.",HIGH,2026,https://explorecourses.stanford.edu/search?q=ACCT&view=timeschedule&page=0&academicYear=20262027
Stanford University,CA,"Kim, J.",HIGH,2026,https://explorecourses.stanford.edu/search?q=GSB&view=timeschedule&page=0&filter-coursestatus-Active=on&catalog=
Stephen F. Austin State University,TX,Hunter Throckmorton,HIGH,2025,https://orion.sfasu.edu/courseinformation/syl/202503/ACCT2302500.pdf
Stephen F. Austin State University,TX,Jose G. Vega,HIGH,2025,https://orion.sfasu.edu/courseinformation/syl/202501/ACCT23023.pdf
Sul Ross State University,TX,Jawanna Sanderson,HIGH,2025,https://srinfo.sulross.edu/hb2504/uploads/syllabi/202520/ACCA_2301_VRG.pdf
Sul Ross State University,TX,"Jawanna Sanderson, CPA",HIGH,2025,https://srinfo.sulross.edu/hb2504/uploads/syllabi/202520/ACCA_2301_VRG.pdf
Texas A&M Univ-Texarkana,TX,Devona Harwood,HIGH,2026,https://www.tamut.edu/faculty/syllabi/202640/40124.pdf
The University of Texas at Austin,TX,Laura Savoie,HIGH,2025,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/9635684/
The University of Texas at San Antonio,TX,Lashaude Lee James,HIGH,2026,https://bluebook.utsa.edu/default.aspx?faculty=De
Tulsa Community College,OK,Jennifer Dillard,HIGH,2026,https://www.tulsacc.edu/documents/special-online-schedule-springpdf
Tulsa Community College,OK,Jerrilyn Eisenhauer,HIGH,2026,https://www.tulsacc.edu/documents/special-online-summerpdf
Tulsa Community College,OK,Mary Broyles,HIGH,2026,https://www.tulsacc.edu/documents/special-online-summerpdf
Tulsa Community College,OK,Michael Linihan,HIGH,2026,https://www.tulsacc.edu/documents/special-online-schedule-springpdf
Tulsa Community College,OK,Samantha Baratz,HIGH,2026,https://www.tulsacc.edu/documents/special-online-summerpdf
Tulsa Community College,OK,Tricia Lackmeyer,HIGH,2026,https://www.tulsacc.edu/documents/special-online-schedule-springpdf
Univ No Carolina Greensboro,NC,Alex Tighe,HIGH,2025,https://bryan.uncg.edu/wp-content/uploads/2025/02/ACC-201-03-7.pdf
Univ of California-Davis,CA,Ayung Tseng,HIGH,2025,https://schedule.aws.ucdavis.edu/public/documents/8071193/Syllabus
Univ of California-Davis,CA,Hollis Skaife,HIGH,2025,https://schedule.aws.ucdavis.edu/public/documents/2320234/Syllabus
Univ of California-Davis,CA,Michelle Higgins,HIGH,2025,https://schedule.aws.ucdavis.edu/public/documents/8889931/Syllabus
Univ of California-Davis,CA,Paul A. Wong,HIGH,2025,https://schedule.aws.ucdavis.edu/public/documents/7437916/Syllabus
Univ of Central Oklahoma,OK,"Cary, Cindi",HIGH,2025,https://cece.uco.edu/idea/eLearningCourseSchedule/
Univ of Central Oklahoma,OK,"Shaull, Riley",HIGH,2025,https://cece.uco.edu/idea/eLearningCourseSchedule/
Univ of Central Oklahoma,OK,"Zhang, Yinghong",HIGH,2025,https://cece.uco.edu/idea/eLearningCourseSchedule/
University of Alberta,AB,Andrea Mitchell,HIGH,2026,https://apps.ualberta.ca/catalogue/instructor/andrealy
University of Chicago,IL,"Hanna, Douglas",HIGH,2026,https://intranet.chicagobooth.edu/pub/academics/cdr/-/media/1a5b06119fb1450088daaafe2bd8ff27.ashx
University of Florida,FL,Michael Schadewald,HIGH,2025,"https://asset.warrington.ufl.edu/syllabi/20241_ACG2071_Introduction%20to%20Managerial%20Accounting_all_Schadewald,%20M.pdf"
University of Genoa,IT,ALBERTO QUAGLI,HIGH,2025,https://corsi.unige.it/en/off.f/2025/ins/83457
University of Genoa,IT,FRANCESCO GIOVANNI AVALLONE,HIGH,2025,https://corsi.unige.it/en/off.f/2025/ins/83476
University of Genoa,IT,PAOLA RAMASSA,HIGH,2025,https://corsi.unige.it/en/off.f/2025/ins/83457
University of Georgia,GA,Abigail Steiner,HIGH,2025,https://bulletin.uga.edu/Course/Details/3097
University of Georgia,GA,Santhosh Ramalingegowda,HIGH,2025,https://bulletin.uga.edu/Course/Details/3097
University of Georgia,GA,Swati Bhandarkar,HIGH,2025,https://bulletin.uga.edu/Course/Details/3097
University of Illinois,IL,"Hutchens, M",HIGH,2026,https://courses.illinois.edu/schedule/2026/spring/ACCY/398
University of Illinois,IL,"Kustanovich, M",HIGH,2026,https://courses.illinois.edu/schedule/2026/spring/ACCY/398
University of Illinois,IL,"Sternburg, T",HIGH,2026,https://courses.illinois.edu/schedule/2026/spring/ACCY/398
University of Illinois,IL,"Ulla, J",HIGH,2026,https://courses.illinois.edu/schedule/2026/spring/ACCY/419
University of Illinois Chicago,IL,E. Lord,HIGH,2026,https://webcs7.osss.uic.edu/schedule-of-classes/static/schedules/spring-2026/ACTG.html
University of Illinois Chicago,IL,K. Nguyen,HIGH,2026,https://webcs7.osss.uic.edu/schedule-of-classes/static/schedules/spring-2026/ACTG.html
University of Illinois Chicago,IL,M. Mikhail,HIGH,2026,https://webcs7.osss.uic.edu/schedule-of-classes/static/schedules/spring-2026/ACTG.html
University of Illinois Chicago,IL,R. Zufarov,HIGH,2026,https://webcs7.osss.uic.edu/schedule-of-classes/static/schedules/spring-2026/ACTG.html
University of Kentucky,KY,Dawkins,HIGH,2026,https://www.smu.edu/law/academics/course-schedules-and-registration-information/courseblockschedulespring2026
University of Kentucky,KY,Shuff,HIGH,2025,https://www.smu.edu/law/academics/course-schedules-and-registration-information/courseblockschedulefall2025
University of Montana,MT,Edward Guay,HIGH,2025,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=5591&context=syllabi2021-2025
University of North Texas,TX,Allison M. McLeod,HIGH,2025,https://facultyinfo.unt.edu/faculty-profile?profile=amm0520
University of Northern Iowa Cedar,IA,J. Ugrin,HIGH,2025,https://senate.uni.edu/sites/default/files/GCC%20Program%20Report%2C%20Course%20Report%2C%20Meeting%20Minutes-Wilson%20College%20of%20Business%20%26%20Interdisciplinary.pdf
University of Texas at El Paso,TX,Hettie C. Houghton,HIGH,2025,https://hb2504.utep.edu/Home/Profile?username=hchoughton
University of Texas at El Paso,TX,Karin J. Smith,HIGH,2026,https://digitalmeasures.utep.edu/ai/kjsmith5/schteach/2302%20Syllabus%20MWF%2010-30-1.pdf
University of Texas at El Paso,TX,Prof Name,HIGH,2025,https://digitalmeasures.utep.edu/ai/bgao/schteach/BO%20GAO%20Revised%202302_F21%20Syllabus%20TR1200-1.pdf
University of Toronto,ON,Catherine Barrette,HIGH,2025,https://rotmancommerce.utoronto.ca/current-students/wp-content/uploads/sites/3/2025/01/RSM219H1S-Introduction-to-Financial-Accounting.pdf
University of Toronto,ON,Dragan Stojanovic,HIGH,2025,https://rotmancommerce.utoronto.ca/current-students/wp-content/uploads/sites/3/2025/01/RSM219H1S-Introduction-to-Financial-Accounting.pdf
University of Toronto,ON,Francesco Bova,HIGH,2025,https://rotmancommerce.utoronto.ca/current-students/wp-content/uploads/sites/3/2025/01/RSM219H1S-Introduction-to-Financial-Accounting.pdf
University of Utah Salt Lake,UT,Dr. Geoffrey Pears,HIGH,2026,https://class-tools.app.utah.edu/syllabus/1264/11961/Spring+2026+Accounting+5120+Syllabus.pdf
University of Utah Salt Lake,UT,Geoffrey Pears,HIGH,2026,https://class-tools.app.utah.edu/syllabus/1264/11947/Acctg+2100+-+Syllabus+-+Spring+2026+MW+-+018.pdf
University of Utah Salt Lake,UT,Jenn Smith,HIGH,2026,https://class-tools.app.utah.edu/syllabus/1264/11962/Acctg+5120-002+Spring+2026.pdf
University of Utah Salt Lake,UT,Mark Peterson,HIGH,2026,https://class-tools.app.utah.edu/syllabus/1264/11938/Acctg+2100+-+Syllabus+-+Spring+2026+TTh+-+007.pdf
University of Utah Salt Lake,UT,Prof. Edward Owens,HIGH,2025,https://class-tools.app.utah.edu/syllabus/1258/17066/ACCTG6000_Syllabus_25.pdf
University of West Georgia,GA,Bruce Bird,HIGH,2025,https://www.westga.edu/academics/course_details.php?course=ACCT-2101
University of West Georgia,GA,Linxiao Liu,HIGH,2025,https://www.westga.edu/academics/course_details.php?course=ACCT-2101
University of West Georgia,GA,Lucretia T. Gibbs,HIGH,2025,https://www.westga.edu/academics/course_details.php?course=ACCT-2101
University of West Georgia,GA,Michael Hopper,HIGH,2025,https://www.westga.edu/profile.php?emp_id=27942
University of West Georgia,GA,Michael Yu,HIGH,2025,https://www.westga.edu/academics/course_details.php?course=ACCT-2101
Uof California-Berkeley,CA,"Zhang, X",HIGH,2025,https://courses.haas.berkeley.edu/Schedule?strParams=Summer:2025:%
Waseda University,JP,Bishnu Kumar Adhikary,HIGH,2026,https://syllabus.u-hyogo.ac.jp/slResult/2026/english/syllabusHtml/SyllabusHtml.2026.174170.html
Waseda University,JP,Yoichiro TSUZUKI,HIGH,2026,https://syllabus.u-hyogo.ac.jp/slResult/2026/english/syllabusHtml/SyllabusHtml.2026.140130.html
Washington University St.,MO,Michael J. Mazzeo,HIGH,2025,https://bulletin.wustl.edu/grad/business/
Wayland Baptist University,TX,Prof. Balbas,HIGH,2025,https://www.wbu.edu/campuses/hawaii/documents/Term%20Schedule%20FALL%202025%207-14-2025.pdf
Wayland Baptist University,TX,Valerie Tharp,HIGH,2026,https://old.wbu.edu/academics/online_programs/schedules/Syllabi/Spring226/Business/ACCT2305VC01.pdf
Western Kentucky University,KY,Dr. Kerron Joseph,HIGH,2025,https://app.wku.edu/syllabus/get/?file=FIN330B70_202520_27158.pdf
Wilmington College,OH,Jason Burgess,HIGH,2025,https://syllabi.wilmington.edu/node/2634
